LineId,Month,Day,Time,Host,Process,Pid,Content,EventId,EventTemplate,ParameterList
563,Jun,14,00:32:21,secops-01,sshd,10657,Failed password for admin from 198.51.100.10 port 20351 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['admin', '198.51.100.10', '20351']"
564,Jun,14,00:32:23,secops-01,sshd,22303,Failed password for invalid user admin from 203.0.113.45 port 59215 ssh2,S02,Failed password for invalid user <*> from <*> port <*> ssh2,"['admin', '203.0.113.45', '59215']"
565,Jun,14,00:32:30,secops-01,sudo,35536,pam_unix(sudo:session): session opened for user deploy by backup(uid=0),U01,pam_unix(sudo:session): session opened for user <*> by <*>(uid=<*>),"['deploy', 'backup', '0']"
566,Jun,14,00:32:36,secops-01,sshd,29900,Connection reset by 203.0.113.169 port 11837 [preauth],S14,Connection reset by <*> port <*> [preauth],"['203.0.113.169', '11837']"
567,Jun,14,00:32:40,secops-01,sshd,28157,Failed password for admin from 203.0.113.50 port 27846 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['admin', '203.0.113.50', '27846']"
568,Jun,14,00:32:41,secops-01,sshd,17783,input_userauth_request: invalid user oracle [preauth],S12,input_userauth_request: invalid user <*> [preauth],['oracle']
569,Jun,14,00:32:46,secops-01,sshd,11786,Failed password for nagios from 203.0.113.127 port 11089 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['nagios', '203.0.113.127', '11089']"
570,Jun,14,00:32:53,secops-01,sshd,29667,Failed password for admin from 203.0.113.171 port 41989 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['admin', '203.0.113.171', '41989']"
571,Jun,14,00:33:00,secops-01,sshd,12684,Failed password for invalid user root from 203.0.113.165 port 20148 ssh2,S02,Failed password for invalid user <*> from <*> port <*> ssh2,"['root', '203.0.113.165', '20148']"
572,Jun,14,00:33:01,secops-01,kernel,,[UFW BLOCK] IN=ens3 OUT= SRC=198.51.100.122 DST=10.0.7.231 PROTO=TCP SPT=44345 DPT=3306,F01,[UFW BLOCK] IN=<*> OUT= SRC=<*> DST=<*> PROTO=TCP SPT=<*> DPT=<*>,"['ens3', '198.51.100.122', '10.0.7.231', '44345', '3306']"
573,Jun,14,00:33:06,secops-01,sshd,22499,Received disconnect from 203.0.113.96 port 59055:11: disconnected by user [preauth],S10,Received disconnect from <*> port <*>:11: disconnected by user [preauth],"['203.0.113.96', '59055']"
574,Jun,14,00:33:10,secops-01,sshd,17413,Failed password for invalid user root from 203.0.113.121 port 18286 ssh2,S02,Failed password for invalid user <*> from <*> port <*> ssh2,"['root', '203.0.113.121', '18286']"
575,Jun,14,00:33:11,secops-01,sshd,13168,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=203.0.113.180,S08,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>,['203.0.113.180']
576,Jun,14,00:33:17,secops-01,sshd,27742,input_userauth_request: invalid user operator [preauth],S12,input_userauth_request: invalid user <*> [preauth],['operator']
577,Jun,14,00:33:23,secops-01,audit,4352,USER_AUTH pid=3415 uid=0 auid=4294967295 user=root exe=/usr/sbin/sshd res=failed,A01,USER_AUTH pid=<*> uid=<*> auid=<*> user=<*> exe=/usr/sbin/sshd res=<*>,"['3415', '0', '4294967295', 'root', 'failed']"
578,Jun,14,00:33:27,secops-01,audit,2950,USER_AUTH pid=3814 uid=1000 auid=4294967295 user=backup exe=/usr/sbin/sshd res=success,A01,USER_AUTH pid=<*> uid=<*> auid=<*> user=<*> exe=/usr/sbin/sshd res=<*>,"['3814', '1000', '4294967295', 'backup', 'success']"
579,Jun,14,00:33:29,secops-01,sshd,28717,Failed password for backup from 192.0.2.10 port 33929 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['backup', '192.0.2.10', '33929']"
580,Jun,14,00:33:32,secops-01,sshd,15477,Failed password for operator from 203.0.113.244 port 65535 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['operator', '203.0.113.244', '65535']"
581,Jun,14,00:33:35,secops-01,sudo,37133,ubuntu : user NOT authorized on host ; TTY=pts/0 ; PWD=/tmp ; COMMAND=/usr/bin/systemctl restart nginx,U03,<*> : user NOT authorized on host ; TTY=<*> ; PWD=<*> ; COMMAND=<*>,"['ubuntu', 'pts/0', '/tmp', '/usr/bin/systemctl restart nginx']"
582,Jun,14,00:33:36,secops-01,audit,4730,USER_LOGIN pid=3569 uid=0 auid=4294967295 user=oracle exe=/usr/sbin/sshd res=failed,A02,USER_LOGIN pid=<*> uid=<*> auid=<*> user=<*> exe=/usr/sbin/sshd res=<*>,"['3569', '0', '4294967295', 'oracle', 'failed']"
583,Jun,14,00:33:43,secops-01,sshd,19050,Failed password for guest from 203.0.113.85 port 57163 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['guest', '203.0.113.85', '57163']"
584,Jun,14,00:33:44,secops-01,kernel,,[UFW BLOCK] IN=eth0 OUT= SRC=198.51.100.161 DST=10.0.9.135 PROTO=UDP SPT=52252 DPT=6379,F02,[UFW BLOCK] IN=<*> OUT= SRC=<*> DST=<*> PROTO=UDP SPT=<*> DPT=<*>,"['eth0', '198.51.100.161', '10.0.9.135', '52252', '6379']"
585,Jun,14,00:33:45,secops-01,sshd,13283,Disconnected from authenticating user ubuntu 203.0.113.151 port 50725 [preauth],S06,Disconnected from authenticating user <*> <*> port <*> [preauth],"['ubuntu', '203.0.113.151', '50725']"
586,Jun,14,00:33:50,secops-01,sshd,27551,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=203.0.113.75,S08,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>,['203.0.113.75']
587,Jun,14,00:33:52,secops-01,kernel,,[UFW BLOCK] IN=ens3 OUT= SRC=203.0.113.126 DST=10.0.9.157 PROTO=TCP SPT=32025 DPT=22,F01,[UFW BLOCK] IN=<*> OUT= SRC=<*> DST=<*> PROTO=TCP SPT=<*> DPT=<*>,"['ens3', '203.0.113.126', '10.0.9.157', '32025', '22']"
588,Jun,14,00:33:52,secops-01,sshd,23163,Failed password for invalid user ubuntu from 198.51.100.176 port 46483 ssh2,S02,Failed password for invalid user <*> from <*> port <*> ssh2,"['ubuntu', '198.51.100.176', '46483']"
589,Jun,14,00:33:56,secops-01,sshd,25571,Invalid user backup from 203.0.113.62 port 4254,S05,Invalid user <*> from <*> port <*>,"['backup', '203.0.113.62', '4254']"
590,Jun,14,00:33:57,secops-01,kernel,,[UFW BLOCK] IN=eth0 OUT= SRC=203.0.113.205 DST=10.0.4.81 PROTO=TCP SPT=19396 DPT=8080,F01,[UFW BLOCK] IN=<*> OUT= SRC=<*> DST=<*> PROTO=TCP SPT=<*> DPT=<*>,"['eth0', '203.0.113.205', '10.0.4.81', '19396', '8080']"
591,Jun,14,00:34:02,secops-01,audit,4170,USER_AUTH pid=1933 uid=0 auid=1001 user=www-data exe=/usr/sbin/sshd res=failed,A01,USER_AUTH pid=<*> uid=<*> auid=<*> user=<*> exe=/usr/sbin/sshd res=<*>,"['1933', '0', '1001', 'www-data', 'failed']"
592,Jun,14,00:34:05,secops-01,sshd,24474,Failed password for invalid user git from 198.51.100.24 port 13340 ssh2,S02,Failed password for invalid user <*> from <*> port <*> ssh2,"['git', '198.51.100.24', '13340']"
593,Jun,14,00:34:07,secops-01,kernel,,[UFW BLOCK] IN=ens3 OUT= SRC=198.51.100.196 DST=10.0.8.224 PROTO=UDP SPT=25528 DPT=22,F02,[UFW BLOCK] IN=<*> OUT= SRC=<*> DST=<*> PROTO=UDP SPT=<*> DPT=<*>,"['ens3', '198.51.100.196', '10.0.8.224', '25528', '22']"
594,Jun,14,00:34:07,secops-01,sshd,27179,Failed password for www-data from 203.0.113.36 port 52175 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['www-data', '203.0.113.36', '52175']"
595,Jun,14,00:34:07,secops-01,sshd,18175,Failed password for backup from 198.51.100.216 port 4800 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['backup', '198.51.100.216', '4800']"
596,Jun,14,00:34:14,secops-01,sshd,22070,Connection closed by authenticating user backup 203.0.113.52 port 18979 [preauth],S07,Connection closed by authenticating user <*> <*> port <*> [preauth],"['backup', '203.0.113.52', '18979']"
597,Jun,14,00:34:17,secops-01,sshd,11001,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=198.51.100.33,S08,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>,['198.51.100.33']
598,Jun,14,00:34:22,secops-01,sshd,25551,Invalid user nagios from 203.0.113.247 port 58071,S05,Invalid user <*> from <*> port <*>,"['nagios', '203.0.113.247', '58071']"
599,Jun,14,00:34:26,secops-01,sshd,12961,Invalid user support from 192.0.2.193 port 55475,S05,Invalid user <*> from <*> port <*>,"['support', '192.0.2.193', '55475']"
600,Jun,14,00:34:29,secops-01,sshd,17022,Failed password for root from 203.0.113.148 port 52130 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['root', '203.0.113.148', '52130']"
601,Jun,14,00:34:29,secops-01,sshd,23418,Received disconnect from 198.51.100.70 port 43726:11: disconnected by user [preauth],S10,Received disconnect from <*> port <*>:11: disconnected by user [preauth],"['198.51.100.70', '43726']"
602,Jun,14,00:34:32,secops-01,kernel,,[UFW BLOCK] IN=eth0 OUT= SRC=203.0.113.35 DST=10.0.2.155 PROTO=TCP SPT=53509 DPT=22,F01,[UFW BLOCK] IN=<*> OUT= SRC=<*> DST=<*> PROTO=TCP SPT=<*> DPT=<*>,"['eth0', '203.0.113.35', '10.0.2.155', '53509', '22']"
603,Jun,14,00:34:38,secops-01,sshd,19023,Failed password for invalid user operator from 192.0.2.184 port 64398 ssh2,S02,Failed password for invalid user <*> from <*> port <*> ssh2,"['operator', '192.0.2.184', '64398']"
604,Jun,14,00:34:44,secops-01,kernel,,[UFW BLOCK] IN=ens3 OUT= SRC=203.0.113.57 DST=10.0.7.79 PROTO=TCP SPT=45404 DPT=8443,F01,[UFW BLOCK] IN=<*> OUT= SRC=<*> DST=<*> PROTO=TCP SPT=<*> DPT=<*>,"['ens3', '203.0.113.57', '10.0.7.79', '45404', '8443']"
605,Jun,14,00:34:49,secops-01,sshd,10240,pam_unix(sshd:auth): check pass; user unknown,S09,pam_unix(sshd:auth): check pass; user unknown,[]
606,Jun,14,00:34:50,secops-01,sshd,19780,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=203.0.113.74,S08,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>,['203.0.113.74']
607,Jun,14,00:34:54,secops-01,sshd,19072,Connection closed by authenticating user deploy 192.0.2.165 port 22332 [preauth],S07,Connection closed by authenticating user <*> <*> port <*> [preauth],"['deploy', '192.0.2.165', '22332']"
608,Jun,14,00:34:54,secops-01,sshd,17874,reverse mapping checking getaddrinfo for host39.example-mail.com [203.0.113.134] failed - POSSIBLE BREAK-IN ATTEMPT!,S11,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!,"['host39.example-mail.com', '203.0.113.134']"
609,Jun,14,00:34:56,secops-01,sudo,35236,operator : user NOT authorized on host ; TTY=tty1 ; PWD=/tmp ; COMMAND=/usr/bin/docker ps,U03,<*> : user NOT authorized on host ; TTY=<*> ; PWD=<*> ; COMMAND=<*>,"['operator', 'tty1', '/tmp', '/usr/bin/docker ps']"
610,Jun,14,00:35:02,secops-01,sudo,34250,pam_unix(sudo:session): session opened for user deploy by test(uid=1000),U01,pam_unix(sudo:session): session opened for user <*> by <*>(uid=<*>),"['deploy', 'test', '1000']"
611,Jun,14,00:35:07,secops-01,sshd,16223,Disconnected from authenticating user www-data 203.0.113.183 port 38513 [preauth],S06,Disconnected from authenticating user <*> <*> port <*> [preauth],"['www-data', '203.0.113.183', '38513']"
612,Jun,14,00:35:12,secops-01,sudo,37794,pam_unix(sudo:session): session opened for user root by postgres(uid=1001),U01,pam_unix(sudo:session): session opened for user <*> by <*>(uid=<*>),"['root', 'postgres', '1001']"
613,Jun,14,00:35:14,secops-01,sshd,28292,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=198.51.100.217,S08,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>,['198.51.100.217']
614,Jun,14,00:35:16,secops-01,sshd,28318,Failed password for invalid user test from 203.0.113.68 port 48549 ssh2,S02,Failed password for invalid user <*> from <*> port <*> ssh2,"['test', '203.0.113.68', '48549']"
615,Jun,14,00:35:22,secops-01,kernel,,[UFW ALLOW] IN=ens3 OUT= SRC=198.51.100.58 DST=10.0.5.59 PROTO=TCP SPT=49796 DPT=3306,F03,[UFW ALLOW] IN=<*> OUT= SRC=<*> DST=<*> PROTO=TCP SPT=<*> DPT=<*>,"['ens3', '198.51.100.58', '10.0.5.59', '49796', '3306']"
616,Jun,14,00:35:26,secops-01,sudo,36089,pam_unix(sudo:session): session closed for user ubuntu,U02,pam_unix(sudo:session): session closed for user <*>,['ubuntu']
617,Jun,14,00:35:27,secops-01,sshd,25196,pam_unix(sshd:auth): check pass; user unknown,S09,pam_unix(sshd:auth): check pass; user unknown,[]
618,Jun,14,00:35:34,secops-01,sshd,12333,Connection closed by authenticating user support 198.51.100.150 port 62909 [preauth],S07,Connection closed by authenticating user <*> <*> port <*> [preauth],"['support', '198.51.100.150', '62909']"
619,Jun,14,00:35:36,secops-01,kernel,,[UFW BLOCK] IN=eth0 OUT= SRC=192.0.2.99 DST=10.0.8.78 PROTO=TCP SPT=28097 DPT=22,F01,[UFW BLOCK] IN=<*> OUT= SRC=<*> DST=<*> PROTO=TCP SPT=<*> DPT=<*>,"['eth0', '192.0.2.99', '10.0.8.78', '28097', '22']"
620,Jun,14,00:35:38,secops-01,sshd,24993,Failed password for ec2-user from 203.0.113.147 port 59537 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['ec2-user', '203.0.113.147', '59537']"
621,Jun,14,00:35:40,secops-01,sshd,20899,Accepted password for www-data from 203.0.113.22 port 32978 ssh2,S03,Accepted password for <*> from <*> port <*> ssh2,"['www-data', '203.0.113.22', '32978']"
622,Jun,14,00:35:42,secops-01,sshd,15524,Accepted password for root from 203.0.113.72 port 14746 ssh2,S03,Accepted password for <*> from <*> port <*> ssh2,"['root', '203.0.113.72', '14746']"
623,Jun,14,00:35:48,secops-01,sshd,24211,Connection closed by authenticating user operator 198.51.100.35 port 41294 [preauth],S07,Connection closed by authenticating user <*> <*> port <*> [preauth],"['operator', '198.51.100.35', '41294']"
624,Jun,14,00:35:53,secops-01,sshd,16534,Disconnected from authenticating user test 203.0.113.11 port 36005 [preauth],S06,Disconnected from authenticating user <*> <*> port <*> [preauth],"['test', '203.0.113.11', '36005']"
625,Jun,14,00:35:56,secops-01,kernel,,[UFW BLOCK] IN=ens3 OUT= SRC=198.51.100.137 DST=10.0.3.6 PROTO=ICMP TYPE=3 CODE=0,F04,[UFW BLOCK] IN=<*> OUT= SRC=<*> DST=<*> PROTO=ICMP TYPE=<*> CODE=<*>,"['ens3', '198.51.100.137', '10.0.3.6', '3', '0']"
626,Jun,14,00:36:00,secops-01,sshd,22568,Failed password for invalid user backup from 203.0.113.35 port 7755 ssh2,S02,Failed password for invalid user <*> from <*> port <*> ssh2,"['backup', '203.0.113.35', '7755']"
627,Jun,14,00:36:05,secops-01,sshd,24939,Failed password for support from 203.0.113.244 port 20083 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['support', '203.0.113.244', '20083']"
628,Jun,14,00:36:10,secops-01,sshd,26062,Disconnected from authenticating user postgres 192.0.2.89 port 60097 [preauth],S06,Disconnected from authenticating user <*> <*> port <*> [preauth],"['postgres', '192.0.2.89', '60097']"
629,Jun,14,00:36:13,secops-01,sudo,30313,pam_unix(sudo:session): session opened for user root by backup(uid=1000),U01,pam_unix(sudo:session): session opened for user <*> by <*>(uid=<*>),"['root', 'backup', '1000']"
630,Jun,14,00:36:15,secops-01,sshd,26535,Failed password for invalid user ubuntu from 203.0.113.7 port 39670 ssh2,S02,Failed password for invalid user <*> from <*> port <*> ssh2,"['ubuntu', '203.0.113.7', '39670']"
631,Jun,14,00:36:15,secops-01,sshd,18381,Failed password for www-data from 198.51.100.11 port 25612 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['www-data', '198.51.100.11', '25612']"
632,Jun,14,00:36:16,secops-01,sshd,11571,pam_unix(sshd:auth): check pass; user unknown,S09,pam_unix(sshd:auth): check pass; user unknown,[]
633,Jun,14,00:36:22,secops-01,sshd,24559,reverse mapping checking getaddrinfo for host7.example.com [198.51.100.108] failed - POSSIBLE BREAK-IN ATTEMPT!,S11,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!,"['host7.example.com', '198.51.100.108']"
634,Jun,14,00:36:26,secops-01,sshd,10304,Failed password for oracle from 203.0.113.41 port 14491 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['oracle', '203.0.113.41', '14491']"
635,Jun,14,00:36:28,secops-01,sshd,29845,Disconnected from authenticating user admin 198.51.100.71 port 41839 [preauth],S06,Disconnected from authenticating user <*> <*> port <*> [preauth],"['admin', '198.51.100.71', '41839']"
636,Jun,14,00:36:32,secops-01,sshd,13857,Disconnected from authenticating user backup 203.0.113.186 port 41505 [preauth],S06,Disconnected from authenticating user <*> <*> port <*> [preauth],"['backup', '203.0.113.186', '41505']"
637,Jun,14,00:36:35,secops-01,sshd,18617,Failed password for admin from 203.0.113.157 port 14114 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['admin', '203.0.113.157', '14114']"
638,Jun,14,00:36:38,secops-01,sshd,26264,Invalid user git from 203.0.113.12 port 36946,S05,Invalid user <*> from <*> port <*>,"['git', '203.0.113.12', '36946']"
639,Jun,14,00:36:41,secops-01,sshd,20833,input_userauth_request: invalid user test [preauth],S12,input_userauth_request: invalid user <*> [preauth],['test']
640,Jun,14,00:36:48,secops-01,sshd,28813,Failed password for postgres from 203.0.113.30 port 55761 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['postgres', '203.0.113.30', '55761']"
641,Jun,14,00:36:52,secops-01,sshd,13319,Failed password for admin from 198.51.100.21 port 48443 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['admin', '198.51.100.21', '48443']"
642,Jun,14,00:36:52,secops-01,sshd,25213,Received disconnect from 203.0.113.77 port 18333:11: disconnected by user [preauth],S10,Received disconnect from <*> port <*>:11: disconnected by user [preauth],"['203.0.113.77', '18333']"
643,Jun,14,00:36:57,secops-01,sshd,21803,Failed password for ubuntu from 192.0.2.220 port 20066 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['ubuntu', '192.0.2.220', '20066']"
644,Jun,14,00:36:57,secops-01,sshd,11503,Disconnected from authenticating user admin 203.0.113.196 port 59370 [preauth],S06,Disconnected from authenticating user <*> <*> port <*> [preauth],"['admin', '203.0.113.196', '59370']"
645,Jun,14,00:36:58,secops-01,kernel,,[UFW BLOCK] IN=eth0 OUT= SRC=203.0.113.230 DST=10.0.7.246 PROTO=TCP SPT=41774 DPT=3306,F01,[UFW BLOCK] IN=<*> OUT= SRC=<*> DST=<*> PROTO=TCP SPT=<*> DPT=<*>,"['eth0', '203.0.113.230', '10.0.7.246', '41774', '3306']"
646,Jun,14,00:37:02,secops-01,sshd,24959,Invalid user deploy from 203.0.113.104 port 27254,S05,Invalid user <*> from <*> port <*>,"['deploy', '203.0.113.104', '27254']"
647,Jun,14,00:37:03,secops-01,sudo,32732,www-data : command not allowed with sudo ; TTY=pts/1 ; PWD=/tmp ; COMMAND=/usr/bin/docker ps,U05,<*> : command not allowed with sudo ; TTY=<*> ; PWD=<*> ; COMMAND=<*>,"['www-data', 'pts/1', '/tmp', '/usr/bin/docker ps']"
648,Jun,14,00:37:04,secops-01,sshd,15223,Failed password for www-data from 203.0.113.243 port 56359 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['www-data', '203.0.113.243', '56359']"
649,Jun,14,00:37:06,secops-01,sshd,24357,Disconnected from authenticating user nagios 203.0.113.147 port 45483 [preauth],S06,Disconnected from authenticating user <*> <*> port <*> [preauth],"['nagios', '203.0.113.147', '45483']"
650,Jun,14,00:37:13,secops-01,sshd,14281,Received disconnect from 198.51.100.158 port 2912:11: disconnected by user [preauth],S10,Received disconnect from <*> port <*>:11: disconnected by user [preauth],"['198.51.100.158', '2912']"
651,Jun,14,00:37:13,secops-01,kernel,,[UFW BLOCK] IN=eth0 OUT= SRC=192.0.2.114 DST=10.0.0.18 PROTO=UDP SPT=18169 DPT=5432,F02,[UFW BLOCK] IN=<*> OUT= SRC=<*> DST=<*> PROTO=UDP SPT=<*> DPT=<*>,"['eth0', '192.0.2.114', '10.0.0.18', '18169', '5432']"
652,Jun,14,00:37:16,secops-01,sshd,28895,Connection reset by 198.51.100.198 port 49758 [preauth],S14,Connection reset by <*> port <*> [preauth],"['198.51.100.198', '49758']"
653,Jun,14,00:37:19,secops-01,audit,2772,USER_AUTH pid=3743 uid=1000 auid=4294967295 user=guest exe=/usr/sbin/sshd res=success,A01,USER_AUTH pid=<*> uid=<*> auid=<*> user=<*> exe=/usr/sbin/sshd res=<*>,"['3743', '1000', '4294967295', 'guest', 'success']"
654,Jun,14,00:37:19,secops-01,sshd,28295,Connection closed by authenticating user postgres 198.51.100.100 port 10766 [preauth],S07,Connection closed by authenticating user <*> <*> port <*> [preauth],"['postgres', '198.51.100.100', '10766']"
655,Jun,14,00:37:21,secops-01,sshd,26247,Failed password for backup from 203.0.113.219 port 31779 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['backup', '203.0.113.219', '31779']"
656,Jun,14,00:37:21,secops-01,sshd,19114,Failed password for test from 203.0.113.86 port 64603 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['test', '203.0.113.86', '64603']"
657,Jun,14,00:37:24,secops-01,sshd,23214,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=203.0.113.98,S08,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>,['203.0.113.98']
658,Jun,14,00:37:31,secops-01,sshd,26333,Failed password for test from 198.51.100.116 port 6792 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['test', '198.51.100.116', '6792']"
659,Jun,14,00:37:37,secops-01,sshd,23219,Accepted password for test from 198.51.100.6 port 7750 ssh2,S03,Accepted password for <*> from <*> port <*> ssh2,"['test', '198.51.100.6', '7750']"
660,Jun,14,00:37:41,secops-01,sshd,29798,Failed password for guest from 203.0.113.25 port 52914 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['guest', '203.0.113.25', '52914']"
661,Jun,14,00:37:44,secops-01,kernel,,[UFW BLOCK] IN=eth0 OUT= SRC=198.51.100.118 DST=10.0.5.95 PROTO=TCP SPT=55111 DPT=22,F01,[UFW BLOCK] IN=<*> OUT= SRC=<*> DST=<*> PROTO=TCP SPT=<*> DPT=<*>,"['eth0', '198.51.100.118', '10.0.5.95', '55111', '22']"
662,Jun,14,00:37:51,secops-01,kernel,,[UFW BLOCK] IN=ens3 OUT= SRC=203.0.113.160 DST=10.0.9.123 PROTO=TCP SPT=47990 DPT=5432,F01,[UFW BLOCK] IN=<*> OUT= SRC=<*> DST=<*> PROTO=TCP SPT=<*> DPT=<*>,"['ens3', '203.0.113.160', '10.0.9.123', '47990', '5432']"
663,Jun,14,00:37:55,secops-01,sshd,21637,Failed password for operator from 198.51.100.2 port 23395 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['operator', '198.51.100.2', '23395']"
664,Jun,14,00:37:57,secops-01,sshd,11500,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=203.0.113.29,S08,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>,['203.0.113.29']
665,Jun,14,00:38:01,secops-01,sshd,13504,Connection closed by authenticating user support 198.51.100.186 port 27842 [preauth],S07,Connection closed by authenticating user <*> <*> port <*> [preauth],"['support', '198.51.100.186', '27842']"
666,Jun,14,00:38:04,secops-01,sshd,22874,Received disconnect from 203.0.113.240 port 56873:11: disconnected by user [preauth],S10,Received disconnect from <*> port <*>:11: disconnected by user [preauth],"['203.0.113.240', '56873']"
667,Jun,14,00:38:04,secops-01,sshd,23581,Connection closed by authenticating user operator 203.0.113.88 port 8086 [preauth],S07,Connection closed by authenticating user <*> <*> port <*> [preauth],"['operator', '203.0.113.88', '8086']"
668,Jun,14,00:38:06,secops-01,kernel,,[UFW BLOCK] IN=eth0 OUT= SRC=198.51.100.117 DST=10.0.7.170 PROTO=UDP SPT=39645 DPT=8443,F02,[UFW BLOCK] IN=<*> OUT= SRC=<*> DST=<*> PROTO=UDP SPT=<*> DPT=<*>,"['eth0', '198.51.100.117', '10.0.7.170', '39645', '8443']"
669,Jun,14,00:38:13,secops-01,audit,4435,USER_AUTH pid=1017 uid=1001 auid=4294967295 user=root exe=/usr/sbin/sshd res=failed,A01,USER_AUTH pid=<*> uid=<*> auid=<*> user=<*> exe=/usr/sbin/sshd res=<*>,"['1017', '1001', '4294967295', 'root', 'failed']"
670,Jun,14,00:38:19,secops-01,kernel,,[UFW BLOCK] IN=eth0 OUT= SRC=198.51.100.46 DST=10.0.2.28 PROTO=UDP SPT=26413 DPT=5432,F02,[UFW BLOCK] IN=<*> OUT= SRC=<*> DST=<*> PROTO=UDP SPT=<*> DPT=<*>,"['eth0', '198.51.100.46', '10.0.2.28', '26413', '5432']"
671,Jun,14,00:38:25,secops-01,sshd,18965,Disconnected from authenticating user nagios 192.0.2.197 port 17292 [preauth],S06,Disconnected from authenticating user <*> <*> port <*> [preauth],"['nagios', '192.0.2.197', '17292']"
672,Jun,14,00:38:31,secops-01,audit,1565,USER_AUTH pid=4975 uid=1000 auid=1001 user=operator exe=/usr/sbin/sshd res=success,A01,USER_AUTH pid=<*> uid=<*> auid=<*> user=<*> exe=/usr/sbin/sshd res=<*>,"['4975', '1000', '1001', 'operator', 'success']"
673,Jun,14,00:38:35,secops-01,sshd,26786,pam_unix(sshd:auth): check pass; user unknown,S09,pam_unix(sshd:auth): check pass; user unknown,[]
674,Jun,14,00:38:38,secops-01,kernel,,[UFW BLOCK] IN=ens3 OUT= SRC=198.51.100.241 DST=10.0.8.163 PROTO=TCP SPT=15267 DPT=53,F01,[UFW BLOCK] IN=<*> OUT= SRC=<*> DST=<*> PROTO=TCP SPT=<*> DPT=<*>,"['ens3', '198.51.100.241', '10.0.8.163', '15267', '53']"
675,Jun,14,00:38:40,secops-01,sshd,14347,Received disconnect from 203.0.113.90 port 61395:11: disconnected by user [preauth],S10,Received disconnect from <*> port <*>:11: disconnected by user [preauth],"['203.0.113.90', '61395']"
676,Jun,14,00:38:45,secops-01,sshd,13781,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=198.51.100.84,S08,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>,['198.51.100.84']
677,Jun,14,00:38:49,secops-01,sshd,23679,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=203.0.113.243,S08,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>,['203.0.113.243']
